REGCODE,DIVCODE,STATEFP,COUNTYFP,CSACODE,CBSACODE,METDCODE,METMICSA,CENTOUTL,ADULTMEN,MSM12MTH,MSM5YEAR
3,6,1,1,,33860,,1,,19410,333,514
3,6,1,3,380,19300,,1,1,69724,925,1429
3,6,1,5,,,,,,11567,82,127
3,6,1,7,142,13820,,1,2,9508,119,184
3,6,1,9,142,13820,,1,2,21368,601,928
3,6,1,11,,,,,,4597,73,113
3,6,1,13,,,,,,7088,39,60
3,6,1,15,,11500,,1,1,43018,692,1070
3,6,1,17,194,46740,,2,1,12467,122,188
3,6,1,19,,,,,,10194,56,87
3,6,1,21,142,13820,,1,2,16117,201,311
3,6,1,23,,,,,,5012,129,200
3,6,1,25,,,,,,8980,49,76
3,6,1,27,,,,,,5095,103,159
3,6,1,29,,,,,,5555,199,308
3,6,1,31,222,21460,,2,1,18737,491,758
3,6,1,33,,22520,,1,1,20005,187,288
3,6,1,35,,,,,,4789,26,41
3,6,1,37,142,45180,,2,2,4444,29,45
3,6,1,39,,,,,,13847,367,568
3,6,1,41,,,,,,5128,28,44
3,6,1,43,142,18980,,2,1,30274,209,323
3,6,1,45,222,37120,,2,1,18496,190,294
3,6,1,47,,42820,,2,1,14253,78,121
3,6,1,49,,,,,,25787,227,352
3,6,1,51,,33860,,1,1,29601,219,338
3,6,1,53,,,,,,15423,184,284
3,6,1,55,,23460,,1,1,38227,373,577
3,6,1,57,,,,,,6431,35,55
3,6,1,59,,,,,,11635,191,296
3,6,1,61,222,20020,,1,2,9991,70,108
3,6,1,63,,,,,,3142,17,27
3,6,1,65,,46220,,1,2,5533,90,139
3,6,1,67,222,20020,,1,2,6382,45,69
3,6,1,69,222,20020,,1,1,36294,316,488
3,6,1,71,174,42460,,2,1,20067,120,185
3,6,1,73,142,13820,,1,1,233379,6818,10540
3,6,1,75,,,,,,5359,29,46
3,6,1,77,,22520,,1,1,34483,407,630
3,6,1,79,290,19460,,1,2,12708,142,219
3,6,1,81,194,12220,,1,1,55081,495,765
3,6,1,83,290,26620,,1,2,32747,229,354
3,6,1,85,,33860,,1,2,3884,27,42
3,6,1,87,,,,,,7471,41,64
3,6,1,89,290,26620,,1,1,125969,1583,2447
3,6,1,91,,,,,,7242,40,62
3,6,1,93,,,,,,11825,215,332
