Area Name,Area ID,Year,Age Group,Male,Hispanic Total,Hispanic Male,Hispanic Female,Hispanic White Total,Hispanic White Male,Hispanic White Female,Hispanic Black Total,Hispanic Black Male,Hispanic Black Female,Hispanic AIAN Total,Hispanic AIAN Male,Hispanic AIAN Female,Hispanic Asian Total,Hispanic Asian Male,Hispanic Asian Female,Hispanic NHOPI Total,Hispanic NHOPI Male,Hispanic NHOPI Female,Hispanic Two or More Races Total,Hispanic Two or More Races Male,Hispanic Two or More Races Female,Non-Hispanic Total,Non-Hispanic Male,Non-Hispanic Female,Non-Hispanic White Total,Non-Hispanic White Male,Non-Hispanic White Female,Non-Hispanic Black Total,Non-Hispanic Black Male,Non-Hispanic Black Female,Non-Hispanic AIAN Total,Non-Hispanic AIAN Male,Non-Hispanic AIAN Female,Non-Hispanic Asian Total,Non-Hispanic Asian Male,Non-Hispanic Asian Female,Non-Hispanic NHOPI Total,Non-Hispanic NHOPI Male,Non-Hispanic NHOPI Female,Non-Hispanic Two or More Races Total,Non-Hispanic Two or More Races Male,Non-Hispanic Two or More Races Female
Washington,53,2010,0-4,"225,088","95,403","48,824","46,579","79,177","40,507","38,670","2,877","1,500","1,377","4,170","2,169","2,001","1,369",725,644,596,308,288,"7,214","3,615","3,599","344,254","176,264","167,990","251,590","128,803","122,787","17,329","8,907","8,422","6,423","3,353","3,070","28,403","14,505","13,898","3,418","1,738","1,680","37,091","18,958","18,133"
Washington,53,2010,5-9,"219,702","84,275","42,807","41,468","70,834","36,011","34,823","2,336","1,181","1,155","3,725","1,854","1,871","1,205",599,606,475,239,236,"5,700","2,923","2,777","345,602","176,895","168,707","257,904","132,453","125,451","16,644","8,576","8,068","6,465","3,378","3,087","29,116","14,477","14,639","3,279","1,630","1,649","32,194","16,381","15,813"
Washington,53,2010,10-14,"224,717","76,422","39,249","37,173","64,437","33,156","31,281","2,083","1,094",989,"3,425","1,698","1,727","1,132",611,521,429,207,222,"4,916","2,483","2,433","361,811","185,468","176,343","276,672","142,309","134,363","17,206","8,835","8,371","7,014","3,715","3,299","27,544","13,719","13,825","3,406","1,747","1,659","29,969","15,143","14,826"
Washington,53,2010,15-19,"237,577","71,660","37,155","34,505","60,646","31,476","29,170","2,060","1,116",944,"3,453","1,815","1,638","1,120",556,564,447,223,224,"3,934","1,969","1,965","390,468","200,422","190,046","301,629","155,040","146,589","18,481","9,690","8,791","7,572","3,926","3,646","32,429","16,445","15,984","3,706","1,891","1,815","26,651","13,430","13,221"
Washington,53,2010,20-24,"238,131","68,652","37,063","31,589","58,284","31,590","26,694","2,307","1,205","1,102","3,287","1,816","1,471","1,068",581,487,422,224,198,"3,284","1,647","1,637","392,860","201,068","191,792","306,912","157,216","149,696","19,005","10,538","8,467","7,215","3,673","3,542","35,691","17,844","17,847","3,939","2,007","1,932","20,098","9,790","10,308"
Washington,53,2010,25-29,"245,014","69,877","37,538","32,339","59,830","32,286","27,544","2,008","1,071",937,"3,224","1,735","1,489","1,078",545,533,419,242,177,"3,318","1,659","1,659","410,521","207,476","203,045","322,689","164,293","158,396","19,263","10,565","8,698","6,441","3,265","3,176","40,474","19,030","21,444","3,729","1,842","1,887","17,925","8,481","9,444"
Washington,53,2010,30-34,"229,863","65,416","34,661","30,755","56,337","29,928","26,409","1,899",962,937,"2,816","1,530","1,286","1,042",537,505,383,201,182,"2,939","1,503","1,436","387,967","195,202","192,765","304,682","154,448","150,234","17,718","9,743","7,975","6,027","3,000","3,027","41,198","19,076","22,122","3,305","1,664","1,641","15,037","7,271","7,766"
Washington,53,2010,35-39,"226,850","57,705","30,462","27,243","50,618","26,745","23,873","1,417",734,683,"2,434","1,327","1,107",943,491,452,269,151,118,"2,024","1,014","1,010","390,902","196,388","194,514","308,577","156,438","152,139","17,443","9,777","7,666","5,957","2,971","2,986","43,545","19,894","23,651","3,000","1,501","1,499","12,380","5,807","6,573"
Washington,53,2010,40-44,"232,587","46,683","25,053","21,630","40,926","22,069","18,857","1,182",601,581,"1,977","1,101",876,837,400,437,213,111,102,"1,548",771,777,"413,015","207,534","205,481","337,911","170,949","166,962","17,498","9,928","7,570","6,219","3,060","3,159","38,205","17,235","20,970","2,624","1,334","1,290","10,558","5,028","5,530"
Washington,53,2010,45-49,"246,507","36,705","19,521","17,184","32,077","17,123","14,954",884,448,436,"1,649",885,764,634,319,315,188,102,86,"1,273",644,629,"456,204","226,986","229,218","383,735","191,992","191,743","17,926","10,185","7,741","6,698","3,259","3,439","35,441","15,610","19,831","2,528","1,255","1,273","9,876","4,685","5,191"
Washington,53,2010,50-54,"245,997","28,216","14,950","13,266","24,633","13,142","11,491",713,374,339,"1,257",665,592,514,249,265,119,68,51,980,452,528,"467,080","231,047","236,033","400,613","199,198","201,415","16,640","9,475","7,165","6,580","3,118","3,462","32,140","13,890","18,250","2,186","1,084","1,102","8,921","4,282","4,639"
Washington,53,2010,55-59,"221,321","19,613","10,082","9,531","17,216","8,879","8,337",469,246,223,839,452,387,364,170,194,69,33,36,656,302,354,"433,465","211,239","222,226","378,680","185,677","193,003","12,647","7,022","5,625","5,591","2,693","2,898","28,074","11,823","16,251","1,574",778,796,"6,899","3,246","3,653"
Washington,53,2010,60-64,"186,378","13,583","6,799","6,784","12,015","6,033","5,982",273,135,138,550,286,264,242,105,137,60,30,30,443,210,233,"368,504","179,579","188,925","327,056","160,481","166,575","9,011","4,740","4,271","4,146","2,021","2,125","22,403","9,529","12,874","1,117",565,552,"4,771","2,243","2,528"
Washington,53,2010,65-69,"131,064","8,584","4,254","4,330","7,674","3,802","3,872",141,73,68,310,171,139,152,69,83,42,16,26,265,123,142,"261,890","126,810","135,080","234,852","114,524","120,328","5,310","2,831","2,479","2,806","1,323","1,483","15,210","6,424","8,786",639,315,324,"3,073","1,393","1,680"
Washington,53,2010,70-74,"88,760","5,373","2,542","2,831","4,827","2,277","2,550",102,45,57,168,97,71,97,37,60,21,7,14,158,79,79,"181,373","86,218","95,155","161,937","77,457","84,480","3,590","1,790","1,800","1,811",854,957,"11,629","5,001","6,628",425,195,230,"1,981",921,"1,060"
Washington,53,2010,75-79,"64,325","3,546","1,628","1,918","3,217","1,495","1,722",52,19,33,99,41,58,62,25,37,19,9,10,97,39,58,"138,522","62,697","75,825","125,073","57,228","67,845","2,504","1,170","1,334","1,107",481,626,"8,266","3,125","5,141",243,107,136,"1,329",586,743
Washington,53,2010,80-84,"45,743","2,343",992,"1,351","2,141",903,"1,238",30,14,16,72,33,39,41,19,22,5,1,4,54,22,32,"108,775","44,751","64,024","99,944","41,543","58,401","1,724",696,"1,028",600,257,343,"5,562","1,869","3,693",131,56,75,814,330,484
Washington,53,2010,85+,"40,083","1,734",664,"1,070","1,585",612,973,28,10,18,45,18,27,33,5,28,8,4,4,35,15,20,"115,537","39,419","76,118","108,332","36,979","71,353","1,533",502,"1,031",477,148,329,"4,422","1,527","2,895",72,26,46,701,237,464
